(Parent) ASIN,(Child) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B00HK1KR5U,B00HK1KR5U,"Sally Hansen Nail Rehab Strengthener, 10ml, pink",0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,1,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00I455IR8,B00I455IR8,Biosilk Color Therapy Conditioner 207ml,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B08CP93RV2,B00I98YITY,"Max Factor Lipfinity Long-Lasting Two Step Lipstick - 115 Confident, 4.2 g",32,1,37,1,69,2,0.00%,0.01%,0.01%,0.01%,0.00%,0.01%,38,2,45,1,83,3,0.00%,0.02%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0H4YF8BP1,B00I9VKAOS,"Rimmel Soft Kohl Kajal Professional Eyeliner Pencil, Intense Long-Lasting Colour, Up to 12 Hours Wear, Smudge Proof, 1.2 grams,","1,717",10,"1,020",4,"2,737",14,0.11%,0.12%,0.14%,0.05%,0.12%,0.09%,"2,303",11,"1,434",6,"3,737",17,0.11%,0.10%,0.15%,0.06%,0.13%,0.08%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00I9X3UKM,B00I9X3UKM,"Rimmel London Stay Matte Primer, Transparent, 30 ml","1,195",6,488,7,"1,683",13,0.08%,0.07%,0.07%,0.10%,0.07%,0.08%,"1,487",9,626,9,"2,113",18,0.07%,0.08%,0.07%,0.09%,0.07%,0.08%,0.05%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00IAJG0XE,B00IAJG0XE,COLORSILK 20 BROWN/BLACK,14,0,15,0,29,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,22,0,23,0,45,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.42%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01C2U97IQ,B00IMVY816,"Rimmel London Hide The Blemish Concealer, 2 Sand, 4.5 g",29,0,16,0,45,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33,0,22,0,55,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,1,0,0.00%,0.00%,£3.49,£0.00,1,0,1,0
B074CC68L7,B00J5M2BSS,"Bourjois Rouge Edition Velvet Liquid Lipstick 5 Olé Flamingo! Purples, 6.7ml",146,0,89,4,235,4,0.01%,0.00%,0.01%,0.05%,0.01%,0.03%,192,0,113,4,305,4,0.01%,0.00%,0.01%,0.04%,0.01%,0.02%,0.33%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074CC68L7,B00J5MFBZI,"Bourjois Rouge Edition Velvet Liquid Lipstick 4 Peach Club Nudes, 7.7 ml, 10003742",314,4,164,2,478,6,0.02%,0.05%,0.02%,0.03%,0.02%,0.04%,413,5,226,3,639,8,0.02%,0.04%,0.02%,0.03%,0.02%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074CC68L7,B00J8K7JK2,"Bourjois Rouge Edition Velvet Liquid Lipstick 8 Grand Cru Purples, 6.7ml",170,1,102,0,272,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,212,1,138,0,350,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00J9GXOCW,B00J9GXOCW,Kds Fast Set Nail Glue - Pack Of 10,2,1,0,0,2,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,4,2,0,0,4,2,0.00%,0.02%,0.00%,0.00%,0.00%,0.01%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00JKEVDJE,B00JKEVDJE,7th Heaven Black Seaweed Easy Peel-Off Face Mask,2,0,7,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,7,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0GHZQQQ2D,B00JR76S2Q,Maybelline Concealer Instant Anti Age Eraser Eye Full Coverage 02 Nude,"9,562",40,"3,830",26,"13,392",66,0.61%,0.47%,0.53%,0.35%,0.59%,0.42%,"12,002",44,"4,858",37,"16,860",81,0.59%,0.39%,0.51%,0.37%,0.57%,0.38%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0GHZQQQ2D,B00JR76TKW,"Maybelline Concealer Instant Anti Age Eraser Eye, For Dark Circles 01 Light","27,624",140,"12,550",100,"40,174",240,1.78%,1.63%,1.73%,1.36%,1.76%,1.51%,"37,091",201,"16,520",138,"53,611",339,1.83%,1.80%,1.73%,1.36%,1.80%,1.59%,0.01%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00JT97HSQ,B00JT97HSQ,LA GIRL Eyeliner Pencil - Blue Metallic by L.A. Girl,0,0,2,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,3,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00JTD9050,B00JTD9050,LA GIRL Eyeliner Pencil - Pretty-N-Pink,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00JTDFIQA,B00JTDFIQA,LA GIRL Lipliner Pencil - Auburn,5,0,6,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,9,0,14,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,41.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00JTDJ1TU,B00JTDJ1TU,LA GIRL Lipliner Pencil - Burgundy,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,3,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00JTDPDRE,B00JTDPDRE,LA GIRL Lipliner Pencil - Coral,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00JWN5ECK,B00JWN5ECK,Stargazer Neon Glow In UV Lipstick - Neon Green,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00JWU5L58,B00JWU5L58,Montagne Juenesse 7th Heaven Creamy Coconut Hydrate Mask,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00K4YM92O,B00K4YM92O,LA GIRL Lipliner Pencil - Party Pink,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00K4YNUFE,B00K4YNUFE,LA GIRL Lipliner Pencil - Plum,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
