(Parent) ASIN,(Child) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B0H4YG8HFN,B00MGK9Q0C,"Rimmel Extra 3D Lash Volumising Mascara, 8 ml (Pack of 1), Black","8,115",39,"2,924",21,"11,039",60,0.52%,0.46%,0.40%,0.29%,0.48%,0.38%,"10,461",53,"3,682",34,"14,143",87,0.52%,0.47%,0.39%,0.34%,0.47%,0.41%,26.98%,0.00%,"2,935",0,26.59%,0.00%,"£10,770.91",£0.00,"2,776",0,34,0,1.16%,0.00%,"£9,248.22",£0.00,"3,022",0,"2,882",0
B01C2SZGUG,B001KYVX2E,"RIMMEL LONDON - Extra Super Lash Building Mascara - Defines, Lengthen & Curl Lashes - With Hydrogel For Healthy Looking Finish - Enriched With Vitamin E - No Clumping - 101 Black Black","4,443",17,"2,131",19,"6,574",36,0.29%,0.20%,0.29%,0.26%,0.29%,0.23%,"5,569",19,"2,709",24,"8,278",43,0.27%,0.17%,0.28%,0.24%,0.28%,0.20%,34.04%,0.00%,"2,213",4,33.66%,11.11%,"£8,570.23",£15.74,"2,070",1,18,0,0.81%,0.00%,"£6,688.91",£13.12,"2,065",4,"1,955",1
B0H4F2L52Y,B004M9L0WW,"RIMMEL LONDON - Stay Matte Pressed Powder - Lightweight, Oil Absorbing, Smooth Non-Powdery Texture, Lasting Up To 5hrs - For All Skin Types - Dermatologically Tested - Transparent - 14g","16,068",83,"6,120",64,"22,188",147,1.03%,0.97%,0.84%,0.87%,0.97%,0.92%,"21,024",111,"8,091",78,"29,115",189,1.04%,0.99%,0.85%,0.77%,0.98%,0.89%,6.60%,0.00%,"1,456",0,6.56%,0.00%,"£5,729.41",£0.00,"1,352",0,15,0,1.03%,0.00%,"£5,115.38",£0.00,"1,553",0,"1,472",0
B0H792Q1DQ,B001V9LB9I,"Rimmel Eyebrow Pencil, 1.4 g - Dark Brown","5,823",47,"2,679",30,"8,502",77,0.37%,0.55%,0.37%,0.41%,0.37%,0.48%,"7,513",56,"3,625",40,"11,138",96,0.37%,0.50%,0.38%,0.39%,0.37%,0.45%,15.72%,2.08%,"1,499",0,17.63%,0.00%,"£5,450.79",£0.00,"1,286",0,25,0,1.67%,0.00%,"£4,804.36",£0.00,"1,583",0,"1,389",0
B01MY0VGTE,B01MY0VGTE,"Rimmel Extra Long Lash Mascara, Extreme Black, 8ml","1,416",10,461,2,"1,877",12,0.09%,0.12%,0.06%,0.03%,0.08%,0.08%,"1,742",11,565,2,"2,307",13,0.09%,0.10%,0.06%,0.02%,0.08%,0.06%,62.11%,0.00%,"1,159",2,61.75%,16.67%,"£4,551.20",£7.66,"1,088",2,19,0,1.64%,0.00%,"£3,907.49",£6.38,"1,194",2,"1,133",2
B01C2SZGUG,B001V9LB4I,"Rimmel Extra Super Lash Mascara, Brown Black, 8ml","1,579",3,822,11,"2,401",14,0.10%,0.04%,0.11%,0.15%,0.11%,0.09%,"2,026",3,"1,074",12,"3,100",15,0.10%,0.03%,0.11%,0.12%,0.10%,0.07%,55.79%,0.00%,"1,156",0,48.15%,0.00%,"£4,253.73",£0.00,"1,046",0,14,0,1.21%,0.00%,"£3,510.42",£0.00,"1,146",0,"1,045",0
B07H8L1DFZ,B07H8L1DFZ,"Rimmel Glam'eyes Professional Liquid Eye Liner, Black Glamour","1,482",10,598,4,"2,080",14,0.10%,0.12%,0.08%,0.05%,0.09%,0.09%,"1,999",14,778,5,"2,777",19,0.10%,0.13%,0.08%,0.05%,0.09%,0.09%,41.78%,36.36%,"1,000",5,48.08%,35.71%,"£3,990.20",£19.25,892,4,14,0,1.40%,0.00%,"£3,244.24",£19.26,975,6,886,5
B0G6VRMSWW,B0742CVQW4,"RIMMEL LONDON - Scandal'eyes Eyeliner - Waterproof Khol - 24hr Wear, Smudge-proof - Ultra Smooth & Creamy Formula - High Intensity Colour - 001 Black - 1.3g","4,145",30,"1,714",13,"5,859",43,0.27%,0.35%,0.24%,0.18%,0.26%,0.27%,"5,396",36,"2,278",18,"7,674",54,0.27%,0.32%,0.24%,0.18%,0.26%,0.25%,24.91%,0.00%,909,0,15.51%,0.00%,"£3,730.97",£0.00,772,0,7,0,0.77%,0.00%,"£2,609.20",£0.00,764,0,696,0
B0H4YCPBRN,B08CFSS35N,"Rimmel Lasting Finish 8HR Lip Liner, Cappuccino, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g","18,682",96,"7,397",46,"26,079",142,1.20%,1.12%,1.02%,0.63%,1.14%,0.89%,"24,940",131,"10,300",66,"35,240",197,1.23%,1.17%,1.08%,0.65%,1.18%,0.92%,12.60%,0.00%,754,0,2.89%,0.00%,"£2,827.01",£0.00,714,0,12,0,1.59%,0.00%,"£2,318.55",£0.00,742,0,702,0
B0H4F2L52Y,B006EHWDEE,"Rimmel Stay Matte Pressed Powder, Silky Beige, 14g","5,749",24,"2,126",16,"7,875",40,0.37%,0.28%,0.29%,0.22%,0.34%,0.25%,"7,304",30,"2,750",19,"10,054",49,0.36%,0.27%,0.29%,0.19%,0.34%,0.23%,10.33%,0.00%,651,0,8.27%,0.00%,"£2,585.78",£0.00,598,0,9,0,1.38%,0.00%,"£2,012.73",£0.00,608,0,568,0
B0H3KCT69C,B001VNCA0S,"MAX FACTOR - False Lash Effect Mascara - Volumising Formula, Pro-Vitamin B5, Clump-Free, Flake-Free, Smudge-Proof - 01 Black - 13.1ml","10,275",53,"3,932",48,"14,207",101,0.66%,0.62%,0.54%,0.65%,0.62%,0.64%,"12,588",63,"4,899",63,"17,487",126,0.62%,0.56%,0.51%,0.62%,0.59%,0.59%,4.44%,6.52%,510,5,3.59%,4.95%,"£3,330.65",£32.66,484,4,5,0,0.98%,0.00%,"£2,796.36",£27.21,514,5,491,4
B00NQN4KOK,B00NQN4KOK,"Rimmel Extra Super Lash Mascara, Black-Black 0.27 oz by Rimmel",406,1,200,2,606,3,0.03%,0.01%,0.03%,0.03%,0.03%,0.02%,511,1,252,2,763,3,0.03%,0.01%,0.03%,0.02%,0.03%,0.01%,77.72%,100.00%,517,0,85.31%,0.00%,"£1,932.56",£0.00,459,0,3,0,0.58%,0.00%,"£1,574.34",£0.00,505,0,457,0
B0H792Q1DQ,B076F3Z9DL,"Rimmel London Eyebrow Pencil, Black Brown","3,651",29,"1,632",23,"5,283",52,0.23%,0.34%,0.22%,0.31%,0.23%,0.33%,"4,590",37,"2,124",30,"6,714",67,0.23%,0.33%,0.22%,0.30%,0.23%,0.31%,13.72%,0.00%,562,0,10.64%,0.00%,"£2,164.38",£0.00,459,0,17,0,3.02%,0.00%,"£1,829.19",£0.00,570,0,484,0
B071Z2XMT8,B01MQRG9E4,"Rimmel London BB Cream with Brightening Effect, Light, 30ml, Pink","1,346",4,557,6,"1,903",10,0.09%,0.05%,0.08%,0.08%,0.08%,0.06%,"1,844",9,762,8,"2,606",17,0.09%,0.08%,0.08%,0.08%,0.09%,0.08%,65.22%,100.00%,465,1,24.44%,10.00%,"£2,938.94",£5.94,432,1,7,0,1.51%,0.00%,"£2,368.50",£4.95,445,1,419,1
B0H3NLP3ZK,B07X783M9Q,"Rimmel London Brow Pro Micro Ultra-Fine Precision Pencil & Brush, Natural-looking Defined Brows, Soft Brown, 0.03 g","2,267",9,953,15,"3,220",24,0.15%,0.11%,0.13%,0.20%,0.14%,0.15%,"2,776",11,"1,234",21,"4,010",32,0.14%,0.10%,0.13%,0.21%,0.13%,0.15%,13.29%,35.29%,492,2,15.28%,8.33%,"£2,404.75",£9.76,424,2,8,0,1.63%,0.00%,"£1,954.48",£8.14,478,2,427,2
B00NA0D8TC,B01LTHN2WA,"Rimmel 100% Waterproof Long-lasting Mascara, Black, 8ml","2,926",12,"1,166",9,"4,092",21,0.19%,0.14%,0.16%,0.12%,0.18%,0.13%,"3,714",17,"1,549",12,"5,263",29,0.18%,0.15%,0.16%,0.12%,0.18%,0.14%,13.87%,0.00%,459,0,11.22%,0.00%,"£2,241.89",£0.00,423,0,6,0,1.31%,0.00%,"£1,780.38",£0.00,437,0,407,0
B0B3SMR3L3,B00MGK9Q9S,"Rimmel London Brow This Way Brow Sculpting Kit, Dark Brown,wax: 1,1g, Powder 1,3g","3,466",19,"1,286",8,"4,752",27,0.22%,0.22%,0.18%,0.11%,0.21%,0.17%,"4,979",32,"1,819",13,"6,798",45,0.25%,0.29%,0.19%,0.13%,0.23%,0.21%,19.85%,45.83%,384,2,8.08%,7.41%,"£1,723.62",£8.50,378,2,7,1,1.82%,50.00%,"£1,435.70",£7.08,384,2,382,2
B0H4F2L52Y,B006EHWCUE,"Rimmel Stay Matte Pressed Powder, Pink Blossom, 14g","2,047",9,907,8,"2,954",17,0.13%,0.11%,0.12%,0.11%,0.13%,0.11%,"2,468",11,"1,126",12,"3,594",23,0.12%,0.10%,0.12%,0.12%,0.12%,0.11%,33.11%,14.29%,485,0,16.42%,0.00%,"£1,758.77",£0.00,370,0,2,0,0.41%,0.00%,"£1,478.26",£0.00,489,0,387,0
B0H3P2DKDH,B01J1A1KNK,"Rimmel London Scandaleyes Reloaded Volumising Mascara, 12ml",604,1,325,5,929,6,0.04%,0.01%,0.04%,0.07%,0.04%,0.04%,728,1,422,6,"1,150",7,0.04%,0.01%,0.04%,0.06%,0.04%,0.03%,54.02%,100.00%,385,1,41.44%,16.67%,"£1,976.54",£5.17,364,1,1,0,0.26%,0.00%,"£1,663.00",£4.31,388,1,368,1
B01M0M1D7R,B09N2YW2T6,"Max Factor Crème Puff Pressed Powder, 05 Translucent, 14g","2,496",11,"1,438",13,"3,934",24,0.16%,0.13%,0.20%,0.18%,0.17%,0.15%,"3,326",13,"1,999",15,"5,325",28,0.16%,0.12%,0.21%,0.15%,0.18%,0.13%,18.47%,15.38%,354,2,9.00%,8.33%,"£2,000.94",£11.40,311,2,8,0,2.26%,0.00%,"£1,640.12",£9.50,348,2,310,2
B07NDVQ2FK,B07NDVQ2FK,TUHIMO Oxidant Liquid Developer 100ml RefectoCil,"1,312",16,550,3,"1,862",19,0.08%,0.19%,0.08%,0.04%,0.08%,0.12%,"1,731",22,718,4,"2,449",26,0.09%,0.20%,0.08%,0.04%,0.08%,0.12%,22.79%,57.14%,296,4,15.90%,21.05%,"£2,163.96",£28.76,289,4,2,0,0.68%,0.00%,"£1,771.78",£23.98,291,4,284,4
B0H4YF8BP1,B001KYTULU,"Rimmel Soft Kohl Kajal Professional Eyeliner Pencil, Intense Long-Lasting Colour, Up to 12 Hours Wear, Smudge Proof, 1.2 grams, Jet Black","11,873",68,"5,330",46,"17,203",114,0.76%,0.79%,0.73%,0.63%,0.75%,0.72%,"15,187",93,"7,015",62,"22,202",155,0.75%,0.83%,0.74%,0.61%,0.75%,0.73%,2.41%,3.39%,311,0,1.81%,0.00%,£933.33,£0.00,282,0,4,0,1.29%,0.00%,£777.79,£0.00,311,0,284,0
B0H3XRSPFS,B07ZZ6P9C7,Rimmel Brow Pro Micro Dark Brown 003 Brown Eyebrow Cosmetic Defining & Filling Solid With Long Lasting Claim Eye Cosmetic Waterproof Pencil X1 X1 Standard Female Eyebrow 1 Mu,852,0,373,8,"1,225",8,0.05%,0.00%,0.05%,0.11%,0.05%,0.05%,"1,062",0,468,8,"1,530",8,0.05%,0.00%,0.05%,0.08%,0.05%,0.04%,21.69%,40.00%,306,3,24.98%,37.50%,"£1,724.18",£14.82,262,3,2,0,0.65%,0.00%,"£1,373.18",£12.36,295,3,265,3
B01C2U97IQ,B001V9LBG6,"Rimmel London Hide The Blemish Concealer, 4 Natural Beige, 4.5 g, (Pack of 1)","1,557",6,899,9,"2,456",15,0.10%,0.07%,0.12%,0.12%,0.11%,0.09%,"2,074",7,"1,244",10,"3,318",17,0.10%,0.06%,0.13%,0.10%,0.11%,0.08%,20.67%,8.33%,293,1,11.93%,6.67%,"£1,252.98",£4.28,259,1,2,0,0.68%,0.00%,"£1,056.41",£3.57,296,1,265,1
B08PQZYLY9,B077L7FL43,"Bourjois Little Round Pot Blusher 95 Rose De Jaspe, 2.5g 29192115095","1,269",2,773,5,"2,042",7,0.08%,0.02%,0.11%,0.07%,0.09%,0.04%,"1,839",3,"1,141",7,"2,980",10,0.09%,0.03%,0.12%,0.07%,0.10%,0.05%,80.67%,66.67%,252,0,12.34%,0.00%,"£1,884.27",£0.00,238,0,2,0,0.79%,0.00%,"£1,556.65",£0.00,249,0,234,0
B0BXWHBJ7Q,B0017UAMC8,RefectoCil Cream Hair Dye - 2 Blue Black 15ml,875,12,449,3,"1,324",15,0.06%,0.14%,0.06%,0.04%,0.06%,0.09%,"1,159",15,603,4,"1,762",19,0.06%,0.13%,0.06%,0.04%,0.06%,0.09%,40.25%,10.00%,249,8,18.81%,53.33%,"£1,473.85",£47.52,235,6,5,1,2.01%,12.50%,"£1,239.08",£39.60,251,8,235,6
B0H4YCPBRN,B08CFMTMK6,"Rimmel Lasting Finish 8HR Lip Liner, 90's Nude, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g","13,921",75,"5,514",37,"19,435",112,0.89%,0.88%,0.76%,0.50%,0.85%,0.70%,"18,393",95,"7,661",52,"26,054",147,0.91%,0.85%,0.80%,0.51%,0.87%,0.69%,5.76%,0.00%,223,0,1.15%,0.00%,£853.03,£0.00,217,0,3,0,1.35%,0.00%,£711.45,£0.00,223,0,217,0
B0H3JJJG2P,B07D8VQG87,"Rimmel London Maxi Blush Powder, Exposed, Long Lasting Pigmented Colour, Light Weight Formula, Easy To Blend and Buildable, 9g","5,649",23,"2,180",14,"7,829",37,0.36%,0.27%,0.30%,0.19%,0.34%,0.23%,"8,048",34,"3,185",20,"11,233",54,0.40%,0.30%,0.33%,0.20%,0.38%,0.25%,8.50%,3.70%,239,0,3.05%,0.00%,"£1,257.49",£0.00,212,0,3,0,1.26%,0.00%,£909.97,£0.00,208,0,206,0
B01C2U97IQ,B004LXL0CY,"Rimmel London Hide The Blemish Stick Concealer, Instant Retouch and Imperfection Camouflage with Easy Application, 105 Golden Beige, 4.5 g",636,1,482,3,"1,118",4,0.04%,0.01%,0.07%,0.04%,0.05%,0.03%,757,1,679,5,"1,436",6,0.04%,0.01%,0.07%,0.05%,0.05%,0.03%,70.64%,80.00%,257,0,22.99%,0.00%,"£1,150.67",£0.00,210,0,6,0,2.33%,0.00%,£959.74,£0.00,257,0,217,0
B0BXWHBJ7Q,B01N04V03R,RefectoCil Cream Hair Dye - Black 15ml,"1,487",19,579,5,"2,066",24,0.10%,0.22%,0.08%,0.07%,0.09%,0.15%,"2,073",21,825,7,"2,898",28,0.10%,0.19%,0.09%,0.07%,0.10%,0.13%,33.10%,20.00%,221,8,10.70%,33.33%,"£1,401.64",£49.78,206,4,2,0,0.90%,0.00%,"£1,174.06",£46.68,222,9,208,5
B0H4YCPBRN,B08CFVWC1X,"Rimmel Lasting Finish 8HR Lip Liner, Pink Candy, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g","3,726",23,"1,736",10,"5,462",33,0.24%,0.27%,0.24%,0.14%,0.24%,0.21%,"4,635",35,"2,273",14,"6,908",49,0.23%,0.31%,0.24%,0.14%,0.23%,0.23%,25.55%,0.00%,207,0,3.79%,0.00%,£742.22,£0.00,192,0,3,0,1.45%,0.00%,£589.71,£0.00,197,0,182,0
B0BXWHBJ7Q,B01JXY0TUO,RefectoCil Cream Hair Dye - 1 Pure Black 15ml,"1,222",9,663,3,"1,885",12,0.08%,0.11%,0.09%,0.04%,0.08%,0.08%,"1,653",11,887,4,"2,540",15,0.08%,0.10%,0.09%,0.04%,0.09%,0.07%,34.03%,22.22%,185,1,9.81%,8.33%,"£1,055.92",£5.68,177,1,4,0,2.16%,0.00%,£856.84,£4.73,180,1,172,1
B01M0M1D7R,B09N2Z6DBD,"Max Factor Crème Puff Pressed Powder, 41 Medium Beige, 14g","2,011",11,"1,047",15,"3,058",26,0.13%,0.13%,0.14%,0.20%,0.13%,0.16%,"2,575",14,"1,415",21,"3,990",35,0.13%,0.13%,0.15%,0.21%,0.13%,0.16%,8.33%,0.00%,195,1,6.38%,3.85%,"£1,092.00",£5.60,169,1,2,0,1.03%,0.00%,£891.75,£4.67,191,1,169,1
B08HQQX815,B001GNBVRQ,"MAX FACTOR - Pan Stik Foundation - Rich Creamy Foundation, Smoothing Effect, Full Coverage, Dewy Skin Look - Normal To Dry Skin - 013 Nouveau Beige","6,062",26,"2,463",17,"8,525",43,0.39%,0.30%,0.34%,0.23%,0.37%,0.27%,"8,496",43,"3,596",24,"12,092",67,0.42%,0.38%,0.38%,0.24%,0.41%,0.31%,7.85%,20.00%,193,0,2.26%,0.00%,"£1,301.95",£0.00,163,0,1,0,0.52%,0.00%,"£1,066.99",£0.00,189,0,161,0
B0CLGWXNPJ,B08PDQZWCM,"Rimmel Scandaleyes Exaggerate Eye Definer, 002 Chocolate Brown, 0.35g","5,310",47,"1,944",13,"7,254",60,0.34%,0.55%,0.27%,0.18%,0.32%,0.38%,"6,945",63,"2,640",20,"9,585",83,0.34%,0.56%,0.28%,0.20%,0.32%,0.39%,4.28%,0.00%,158,0,2.18%,0.00%,£740.78,£0.00,152,0,1,0,0.63%,0.00%,£561.61,£0.00,143,0,138,0
B0C945X5PR,B084D1N7JJ,"ARMAF Club De Nuit Intense Man Eau De Parfum, 200ml","4,046",39,"1,615",29,"5,661",68,0.26%,0.46%,0.22%,0.40%,0.25%,0.43%,"6,232",84,"2,420",44,"8,652",128,0.31%,0.75%,0.25%,0.43%,0.29%,0.60%,26.03%,28.57%,156,2,2.76%,2.94%,"£6,869.71",£87.36,150,1,4,0,2.56%,0.00%,"£5,731.67",£72.80,156,2,150,1
B097QPWLHM,B07D8WGNWP,"Rimmel Scandaleyes WOW Wings Volumising Mascara, Black, 12 ml",401,1,226,2,627,3,0.03%,0.01%,0.03%,0.03%,0.03%,0.02%,540,2,290,5,830,7,0.03%,0.02%,0.03%,0.05%,0.03%,0.03%,35.07%,80.00%,171,0,27.27%,0.00%,"£1,025.87",£0.00,148,0,2,0,1.17%,0.00%,£817.78,£0.00,163,0,149,0
B0BXWHBJ7Q,B01N0YADPT,RefectoCil Cream Hair Dye - 3.1 Light Brown 15ml,"3,107",31,"1,249",15,"4,356",46,0.20%,0.36%,0.17%,0.20%,0.19%,0.29%,"4,609",42,"1,842",17,"6,451",59,0.23%,0.38%,0.19%,0.17%,0.22%,0.28%,11.65%,56.52%,148,8,3.40%,17.39%,£941.45,£49.26,139,6,1,0,0.68%,0.00%,£734.76,£41.04,138,8,130,6
B08HQQX815,B003JM4OCG,"Max Factor Pan Stik Foundation, 012 True Beige, 1 Count","2,086",11,977,8,"3,063",19,0.13%,0.13%,0.13%,0.11%,0.13%,0.12%,"2,772",17,"1,369",8,"4,141",25,0.14%,0.15%,0.14%,0.08%,0.14%,0.12%,16.76%,87.50%,146,2,4.77%,10.53%,"£1,008.93",£12.50,128,1,3,0,2.05%,0.00%,£812.02,£10.42,141,2,126,2
B0GRBHC1KX,B073WYXK64,"Rimmel Magnif'eyes Nude Edition Eyeshadow Palette, 12 shade, Cream","7,358",31,"2,552",26,"9,910",57,0.47%,0.36%,0.35%,0.35%,0.43%,0.36%,"9,463",52,"3,410",37,"12,873",89,0.47%,0.46%,0.36%,0.37%,0.43%,0.42%,4.96%,5.56%,132,0,1.33%,0.00%,£957.31,£0.00,127,0,3,0,2.27%,0.00%,£791.19,£0.00,131,0,128,0
B08R4W2L8T,B0052Z82WQ,Brow This Way Professional Pencil - 004 Brack Brown by Rimmel London for Women - 0.05 oz Eyebrow Pencil,295,2,159,3,454,5,0.02%,0.02%,0.02%,0.04%,0.02%,0.03%,359,2,202,7,561,9,0.02%,0.02%,0.02%,0.07%,0.02%,0.04%,99.09%,100.00%,138,1,30.40%,20.00%,£592.29,£4.26,117,1,4,0,2.90%,0.00%,£499.78,£3.55,140,1,131,1
B0C7L7HSQ7,B01HD23OJG,Technic 12 g Get Gorgeous Bronzing Highlighting Powder,459,4,134,3,593,7,0.03%,0.05%,0.02%,0.04%,0.03%,0.04%,600,5,181,4,781,9,0.03%,0.04%,0.02%,0.04%,0.03%,0.04%,63.08%,100.00%,99,1,16.69%,14.29%,£390.53,£3.84,96,1,1,0,1.01%,0.00%,£321.94,£3.20,98,1,95,1
B01M0M1D7R,B09N2YJW23,"Max Factor Crème Puff Pressed Powder, 53 Tempting Touch, 14g",630,7,411,10,"1,041",17,0.04%,0.08%,0.06%,0.14%,0.05%,0.11%,795,11,563,14,"1,358",25,0.04%,0.10%,0.06%,0.14%,0.05%,0.12%,21.62%,0.00%,119,0,11.43%,0.00%,£772.26,£0.00,87,0,1,0,0.84%,0.00%,£635.31,£0.00,117,0,89,0
B0H4YCPBRN,B08CFRGDJY,"Rimmel Lasting Finish 8HR Lip Liner, Spice, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g","4,903",31,"2,005",15,"6,908",46,0.32%,0.36%,0.28%,0.20%,0.30%,0.29%,"6,114",36,"2,533",18,"8,647",54,0.30%,0.32%,0.27%,0.18%,0.29%,0.25%,7.15%,0.00%,94,0,1.36%,0.00%,£333.98,£0.00,86,0,1,0,1.06%,0.00%,£281.46,£0.00,95,0,87,0
B01M0M1D7R,B09N2Y5QGC,"Max Factor Crème Puff Pressed Powder, 75 Golden, 14g",475,5,256,1,731,6,0.03%,0.06%,0.04%,0.01%,0.03%,0.04%,571,5,321,4,892,9,0.03%,0.04%,0.03%,0.04%,0.03%,0.04%,46.95%,100.00%,100,0,13.68%,0.00%,£640.75,£0.00,85,0,0,0,0.00%,0.00%,£528.45,£0.00,99,0,85,0
B0BXS352Y4,B01N41EG0I,Marion Hair Color Shampoo in Sachet Lasting 4 to 8 Washes Aloe and Keratin - 62 Dark Blonde,"1,006",6,724,6,"1,730",12,0.06%,0.07%,0.10%,0.08%,0.08%,0.08%,"1,482",6,"1,052",8,"2,534",14,0.07%,0.05%,0.11%,0.08%,0.09%,0.07%,33.25%,0.00%,139,0,8.03%,0.00%,£415.61,£0.00,84,0,3,0,2.16%,0.00%,£341.13,£0.00,137,0,83,0
B017NILC9E,B017NILC9E,Technic Pink Back Combing Brush,274,2,138,1,412,3,0.02%,0.02%,0.02%,0.01%,0.02%,0.02%,335,3,165,1,500,4,0.02%,0.03%,0.02%,0.01%,0.02%,0.02%,65.78%,100.00%,89,0,21.60%,0.00%,£256.49,£0.00,83,0,0,0,0.00%,0.00%,£231.36,£0.00,96,0,90,0
B0H3K42JGB,B078748C4T,"MAX FACTOR - Brow Shaper - Double Tipped Mechanical Pencil With Spoolie Brush - Utltra Fine Tip For Precise Application, Softening Effect, Matte Finish - 20 Brown - 1g","1,363",11,570,3,"1,933",14,0.09%,0.13%,0.08%,0.04%,0.08%,0.09%,"1,689",13,755,4,"2,444",17,0.08%,0.12%,0.08%,0.04%,0.08%,0.08%,5.45%,0.00%,89,0,4.60%,0.00%,£520.48,£0.00,81,0,0,0,0.00%,0.00%,£430.31,£0.00,88,0,80,0
B0H4YCPBRN,B08CFW2K93,"Rimmel Lasting Finish 8HR Lip Liner, Wine, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g","2,366",13,979,8,"3,345",21,0.15%,0.15%,0.13%,0.11%,0.15%,0.13%,"3,000",15,"1,254",11,"4,254",26,0.15%,0.13%,0.13%,0.11%,0.14%,0.12%,14.05%,16.67%,88,0,2.63%,0.00%,£321.87,£0.00,80,0,1,0,1.14%,0.00%,£268.05,£0.00,88,0,81,0
B09F3YBTP7,B00JTRHG16,"Rimmel London Exaggerate Liquid Eyeliner, Black, 2.5 ml","2,265",17,895,10,"3,160",27,0.15%,0.20%,0.12%,0.14%,0.14%,0.17%,"3,006",20,"1,206",14,"4,212",34,0.15%,0.18%,0.13%,0.14%,0.14%,0.16%,4.59%,0.00%,83,0,2.63%,0.00%,£383.26,£0.00,79,0,2,0,2.41%,0.00%,£340.72,£0.00,89,0,81,0
B0B3SMR3L3,B00MGK9Q5M,"Rimmel London Brow This Way Eyebrow Powder Sculpting Kit, 1.3g","3,219",18,"1,153",5,"4,372",23,0.21%,0.21%,0.16%,0.07%,0.19%,0.14%,"4,339",23,"1,592",10,"5,931",33,0.21%,0.21%,0.17%,0.10%,0.20%,0.15%,4.69%,0.00%,76,0,1.74%,0.00%,£346.10,£0.00,76,0,2,0,2.63%,0.00%,£284.45,£0.00,75,0,75,0
B08HQQX815,B001GNBVSA,"Max Factor Pan Stik Foundation, 25 Fair, Full Coverage and Smooth Texture for Dewy Skin Look, 9 g 774265","1,476",6,810,6,"2,286",12,0.09%,0.07%,0.11%,0.08%,0.10%,0.08%,"1,852",7,"1,112",9,"2,964",16,0.09%,0.06%,0.12%,0.09%,0.10%,0.08%,16.20%,28.57%,82,3,3.59%,25.00%,£624.90,£20.05,75,1,2,0,2.44%,0.00%,£540.63,£16.71,85,3,79,1
B09DTRB76M,B07M6KRF1D,"Rimmel London Wonderâ€™Full Brow 24HR Waterproof Brow Gel, with Fibres for Plump Thick Brows, Dark, 4.5 ml (Pack of 1)","3,510",16,"1,199",13,"4,709",29,0.23%,0.19%,0.16%,0.18%,0.21%,0.18%,"4,487",22,"1,588",20,"6,075",42,0.22%,0.20%,0.17%,0.20%,0.20%,0.20%,4.31%,18.18%,81,0,1.72%,0.00%,£424.44,£0.00,75,0,0,0,0.00%,0.00%,£356.84,£0.00,81,0,75,0
B0BMY12GHZ,B000YDMO7U,"Revlon Super Lustrous Lipstick, 4.2 g, Number 420, Blushed","1,684",4,954,4,"2,638",8,0.11%,0.05%,0.13%,0.05%,0.12%,0.05%,"2,239",4,"1,351",7,"3,590",11,0.11%,0.04%,0.14%,0.07%,0.12%,0.05%,18.04%,66.67%,83,1,3.15%,12.50%,£478.95,£5.45,72,1,0,0,0.00%,0.00%,£377.31,£0.00,78,0,67,0
B08R4W2L8T,B00IM54ZW4,"Rimmel Professional Eyebrow Pencil, 1 Ea, Dark Brown",522,5,238,2,760,7,0.03%,0.06%,0.03%,0.03%,0.03%,0.04%,716,7,306,2,"1,022",9,0.04%,0.06%,0.03%,0.02%,0.03%,0.04%,18.55%,50.00%,73,0,9.61%,0.00%,£325.41,£0.00,66,0,2,0,2.74%,0.00%,£290.21,£0.00,78,0,73,0
