(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0GKGVXD9L,B01E1SLB3Q,L.A. Girl Pro Face HD Matte Pressed Face Powder Buff 7g,LAGIRL-HD-PWDR-606,11,0,13,1,24,1,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,12,0,20,1,32,1,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,41.94%,0.00%,4,0,16.67%,0.00%,£35.92,£0.00,1,0
B01E4CDE70,B01E4CDE70,"MONTAGNE JEUNESSE 7Th Peel-Off Masque, Sea, 10 ml",7H-DEADSEA-PEEL-MASK-10ML,4,0,4,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,7,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,2,0,25.00%,0.00%,£3.98,£0.00,1,0
B01FWGYBF6,B01FWGYBF6,Technic Superfine Matte Powder Bronzer Compact 12g-Medium,TECHNIC-SPF-BRONZER-MED,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,1,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,1,0,25.00%,0.00%,£4.19,£0.00,1,0
B01G45AY3M,B01G45AY3M,"Maybelline Fit Me Foundation, Medium Coverage, Blendable With a Matte and Poreless Finish, For Normal to Oily Skin, Shade: 220 Natural Beige, 30ml",MAYB-MAPF-220,"1,513",7,535,9,"2,048",16,0.16%,0.13%,0.13%,0.22%,0.15%,0.17%,"2,036",9,674,12,"2,710",21,0.16%,0.13%,0.12%,0.21%,0.15%,0.17%,0.16%,0.00%,1,0,0.05%,0.00%,£8.99,£0.00,1,0
B072J5J73V,B01GJLJU68,Gel Effect Nail Polish in Cute. Get that professional manicure look at home with an easy to apply polish extremely long lasting polish.,STARGAZER-GEL-NAIL-CUTE,7,0,3,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,0,7,0,16,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,86.67%,0.00%,1,0,10.00%,0.00%,£3.95,£0.00,1,0
B077ZWD8NT,B01HETRHLY,Technic Define & Highlight Duo Contour Kit Bronzer & Highlight Powder 5.5g-Caramel,TECHNIC-DEFINE-HIGHL-CARAMEL,120,3,43,0,163,3,0.01%,0.06%,0.01%,0.00%,0.01%,0.03%,157,3,71,0,228,3,0.01%,0.04%,0.01%,0.00%,0.01%,0.02%,0.46%,0.00%,1,0,0.61%,0.00%,£3.99,£0.00,1,0
B077ZWD8NT,B01HETSTPM,Technic Define & Highlight Duo Contour Kit Bronzer & Highlight Powder 5.5g-Mocha,TECHNIC-DEFINE-HIGHL-MOCHA,57,1,27,0,84,1,0.01%,0.02%,0.01%,0.00%,0.01%,0.01%,74,1,48,0,122,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,8.62%,0.00%,1,0,1.19%,0.00%,£3.99,£0.00,1,0
B01JOY2RGW,B01J1A1KOO,"Rimmel London Scandaleyes Reloaded Volumising Mascara, Extreme Black, 12 ml",RIM-MSC-SCAND-RL-003_SNL,722,1,290,4,"1,012",5,0.08%,0.02%,0.07%,0.10%,0.07%,0.05%,892,1,367,5,"1,259",6,0.07%,0.01%,0.07%,0.09%,0.07%,0.05%,0.17%,0.00%,1,0,0.10%,0.00%,£5.20,£0.00,1,0
B01JOY2RGW,B01J1A1KOO,"Rimmel London Scandaleyes Reloaded Volumising Mascara, Extreme Black, 12 ml",RIM-MSC-SCAND-RL-003,722,1,290,4,"1,012",5,0.08%,0.02%,0.07%,0.10%,0.07%,0.05%,892,1,367,5,"1,259",6,0.07%,0.01%,0.07%,0.09%,0.07%,0.05%,0.17%,0.00%,1,0,0.10%,0.00%,£5.63,£0.00,1,0
B01LXUZ5HD,B01LXUZ5HD,Technic Primer Spray 31 ml,TECHNIC-PRIMER-SPRAY,1,0,3,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,2,0,50.00%,0.00%,£11.98,£0.00,1,0
