(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0H1PXNHK7,B001RYWCHW,"Sally Hansen Nail Growth Miracle Treatment,13.3 ml (Pack of 1)",SH-NAILGROWTH,"2,735",14,"1,334",12,"4,069",26,0.28%,0.26%,0.32%,0.29%,0.29%,0.28%,"3,870",19,"1,827",16,"5,697",35,0.31%,0.28%,0.33%,0.28%,0.31%,0.28%,1.19%,0.00%,12,0,0.29%,0.00%,£91.20,£0.00,12,0
B071751PXN,B009ES8PVA,Stargazer Bright Orange Lipstick 102 - Creamy Long-Lasting Colour with Gloss Finish - Soft Pigmented for Everyday Wear - Cruelty-Free - Made in the UK - 5.2 g,STARGAZER-LPK-102,127,0,61,0,188,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,170,0,81,0,251,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,23.73%,0.00%,12,0,6.38%,0.00%,£47.40,£0.00,12,0
B00MJ0F7X4,B00MJ0F7X4,Rimmel London Professional Eyebrow Pencil 002 Hazel by Rimmel,RIM-EBP-HAZEL_SNL,27,0,23,0,50,0,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,37,0,43,0,80,0,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,36.11%,0.00%,14,0,28.00%,0.00%,£67.60,£0.00,12,0
B01M065MO6,B00ZPIZGZ6,"Bourjois Volume Glamour Effet Push Up Volumizing and Curling Mascara 31 Ultra Black, 7ml",BJS-MSC-PU-31_SNL,150,2,67,2,217,4,0.02%,0.04%,0.02%,0.05%,0.02%,0.04%,185,3,90,2,275,5,0.01%,0.04%,0.02%,0.03%,0.02%,0.04%,15.04%,0.00%,12,0,5.53%,0.00%,£100.20,£0.00,12,0
B0CC9DZHQK,B01L05DEH4,Max Factor Lipfinity Lip Colour - 140 Charming,MF-LIPFINITY-24HR-140_SNL,388,2,227,6,615,8,0.04%,0.04%,0.05%,0.15%,0.04%,0.09%,506,3,284,6,790,9,0.04%,0.04%,0.05%,0.10%,0.04%,0.07%,3.95%,0.00%,16,0,2.60%,0.00%,£133.24,£0.00,12,0
B0DDLBT4T7,B06X17WZR4,"Schwarzkopf Blond Me Premium Care Developer 2 Percent Oil Formaula Hair Moisture Maintaining, 1.101 kg",SCHWARZ-BMDEV-2PERC,219,2,71,2,290,4,0.02%,0.04%,0.02%,0.05%,0.02%,0.04%,322,2,98,2,420,4,0.03%,0.03%,0.02%,0.03%,0.02%,0.03%,28.57%,100.00%,12,0,4.14%,0.00%,£155.88,£0.00,12,0
B07H83JXDB,B000AADEP8,"Sally Hansen Double Duty Strengthening Base and Top Coat, 13.3ml",SH-DOUBLEDUTY,"1,402",5,941,13,"2,343",18,0.15%,0.09%,0.22%,0.32%,0.17%,0.19%,"1,745",5,"1,188",18,"2,933",23,0.14%,0.07%,0.21%,0.31%,0.16%,0.18%,1.35%,0.00%,11,0,0.47%,0.00%,£56.88,£0.00,11,0
B08HQQX815,B003JM4OCG,"Max Factor Pan Stik Foundation, 012 True Beige, 1 Count",MF-PS-12,"2,086",11,977,8,"3,063",19,0.22%,0.21%,0.23%,0.20%,0.22%,0.20%,"2,772",17,"1,369",8,"4,141",25,0.22%,0.25%,0.24%,0.14%,0.23%,0.20%,16.76%,87.50%,11,0,0.36%,0.00%,£68.09,£0.00,11,0
B0H4F2L52Y,B004M9L0WW,"RIMMEL LONDON - Stay Matte Pressed Powder - Lightweight, Oil Absorbing, Smooth Non-Powdery Texture, Lasting Up To 5hrs - For All Skin Types - Dermatologically Tested - Transparent - 14g",RIM-SMPP-001,"16,068",83,"6,120",64,"22,188",147,1.67%,1.57%,1.45%,1.56%,1.61%,1.57%,"21,024",111,"8,091",78,"29,115",189,1.68%,1.61%,1.44%,1.35%,1.61%,1.49%,6.60%,0.00%,14,0,0.06%,0.00%,£57.24,£0.00,11,0
B074KXX5C1,B004ZEMOC4,"Sally Hansen Insta-Dri Top Coat, 13.3ml",SH-INSTADRI,"2,686",26,"1,074",10,"3,760",36,0.28%,0.49%,0.26%,0.24%,0.27%,0.38%,"3,393",33,"1,368",12,"4,761",45,0.27%,0.48%,0.24%,0.21%,0.26%,0.36%,0.60%,0.00%,12,0,0.32%,0.00%,£65.30,£0.00,11,0
B0CB54WVV6,B0092QK8N2,Maybelline Mascara Lash Sensational Sky High Lengthening Black Waterproof,MAYB-MSC-SKY-WP,"11,280",60,"5,392",48,"16,672",108,1.18%,1.13%,1.28%,1.17%,1.21%,1.15%,"14,415",72,"7,029",63,"21,444",135,1.15%,1.05%,1.25%,1.09%,1.18%,1.07%,0.40%,0.00%,11,0,0.07%,0.00%,£97.33,£0.00,11,0
B0H6R42TK5,B01BNK0W62,"Rimmel Super Gel, 012 Soul Session, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml",RIM-NAIL-SUPERGEL-012,794,4,233,1,"1,027",5,0.08%,0.08%,0.06%,0.02%,0.07%,0.05%,975,6,297,1,"1,272",7,0.08%,0.09%,0.05%,0.02%,0.07%,0.06%,23.19%,0.00%,11,0,1.07%,0.00%,£54.78,£0.00,11,0
B077ZVXWQD,B01N3U27MN,"Technic Eyebrow Pencil, Definer & Sharpener-Brown Black by Technic",TECHNIC-BROW-PENCIL-BRWBLK,96,1,46,0,142,1,0.01%,0.02%,0.01%,0.00%,0.01%,0.01%,136,1,62,0,198,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,25.79%,100.00%,11,1,7.75%,100.00%,£29.51,£2.09,11,1
B0GR1K65GN,B0742BJJCR,"Rimmel London Rita Ora 60 Seconds Super Shine Nail Polish, 811 Hot Metal Love, Packaging May Vary, Shades of Black Moonlight Magic, 8 ml",RIM-NAIL-60S-902,993,5,474,3,"1,467",8,0.10%,0.09%,0.11%,0.07%,0.11%,0.09%,"1,118",5,559,4,"1,677",9,0.09%,0.07%,0.10%,0.07%,0.09%,0.07%,12.33%,100.00%,11,0,0.75%,0.00%,£87.67,£0.00,11,0
B01M0PU853,B07V7Y1Q7D,Max Factor Colour Elixir Lipstick with Vitamin E Shade Nude Rose 015,MF-CELPK-015_SNL,187,2,136,1,323,3,0.02%,0.04%,0.03%,0.02%,0.02%,0.03%,216,2,204,1,420,3,0.02%,0.03%,0.04%,0.02%,0.02%,0.02%,30.22%,0.00%,11,0,3.41%,0.00%,£97.65,£0.00,11,0
B094MYZTFM,B08159FKYW,"Rimmel London Scandaleyes Volume On Demand Buildable Mascara, Black, 12 ml",RIM-MSC-SCAND-VOD-001_SNL,317,1,206,1,523,2,0.03%,0.02%,0.05%,0.02%,0.04%,0.02%,393,1,285,2,678,3,0.03%,0.01%,0.05%,0.03%,0.04%,0.02%,12.89%,0.00%,12,0,2.29%,0.00%,£61.05,£0.00,11,0
B0FYHMFVRG,B00008MORL,"Max Factor Lipfinity Lipstick, 160 Iced",MF-LIPFINITY-24HR-160,"1,019",6,448,7,"1,467",13,0.11%,0.11%,0.11%,0.17%,0.11%,0.14%,"1,241",10,597,7,"1,838",17,0.10%,0.15%,0.11%,0.12%,0.10%,0.13%,1.82%,0.00%,13,0,0.89%,0.00%,£101.27,£0.00,10,0
B08HQQX815,B001GNBVSK,"Max Factor Pan Stik Foundation, 30 Olive, 9 g",MF-PS-30_SNL,496,0,365,1,861,1,0.05%,0.00%,0.09%,0.02%,0.06%,0.01%,560,0,457,1,"1,017",1,0.04%,0.00%,0.08%,0.02%,0.06%,0.01%,17.23%,0.00%,12,0,1.39%,0.00%,£77.40,£0.00,10,0
B00ARNR3CS,B005LSZF0Q,Kohl Pencil - # 080 Cobalt Blue by Max Factor for Women - 1 Pc Eye Liner,MF-KK-EL-080,146,0,76,0,222,0,0.02%,0.00%,0.02%,0.00%,0.02%,0.00%,183,0,101,0,284,0,0.01%,0.00%,0.02%,0.00%,0.02%,0.00%,26.91%,0.00%,10,0,4.50%,0.00%,£48.31,£0.00,10,0
B0H4F2L52Y,B006EHWCUE,"Rimmel Stay Matte Pressed Powder, Pink Blossom, 14g",RIM-SMPP-002,"2,047",9,907,8,"2,954",17,0.21%,0.17%,0.22%,0.20%,0.21%,0.18%,"2,468",11,"1,126",12,"3,594",23,0.20%,0.16%,0.20%,0.21%,0.20%,0.18%,33.11%,14.29%,15,0,0.51%,0.00%,£53.92,£0.00,10,0
B08HQSPF1F,B008X6VVGA,"Max Factor Eyebrow Pencil, Hazel",MF-EBP-HAZEL_SNL,160,0,82,0,242,0,0.02%,0.00%,0.02%,0.00%,0.02%,0.00%,190,0,105,0,295,0,0.02%,0.00%,0.02%,0.00%,0.02%,0.00%,7.25%,0.00%,11,0,4.55%,0.00%,£46.09,£0.00,10,0
B0BW3MHZTX,B00ILE01O2,"ARMAF Club De Nuit Intense Women Eau De Parfum, 105ml",ARMAF-094977,645,9,244,5,889,14,0.07%,0.17%,0.06%,0.12%,0.06%,0.15%,907,12,324,5,"1,231",17,0.07%,0.17%,0.06%,0.09%,0.07%,0.13%,14.27%,0.00%,10,0,1.12%,0.00%,£249.60,£0.00,10,0
B0H4SV53T5,B00UYJE2EW,"Rimmel 60 Seconds Super Shine Nail Polish, 558 Go-Wild-Er-Ness, Quick-Dry Nail Polish, Ultra-Shiny Finish, Easy to Apply, Vibrant Colour, Long-Wearing, Improved Formula, Vegan, 8ml",RIM-NAIL-60S-558,949,3,395,6,"1,344",9,0.10%,0.06%,0.09%,0.15%,0.10%,0.10%,"1,165",3,499,7,"1,664",10,0.09%,0.04%,0.09%,0.12%,0.09%,0.08%,0.73%,0.00%,10,0,0.74%,0.00%,£49.80,£0.00,10,0
B0BXS352Y4,B01LJV6BJM,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,MARION-COLOR-SHAMP-66_SNL,255,2,120,4,375,6,0.03%,0.04%,0.03%,0.10%,0.03%,0.06%,327,2,150,6,477,8,0.03%,0.03%,0.03%,0.10%,0.03%,0.06%,50.21%,0.00%,17,0,4.53%,0.00%,£55.59,£0.00,10,0
B0CLLXYFVX,B07HR3TGTN,L.A. Girl Pro Coneal HD. High Definiton Pro Concealer 0.28 Oz 965 Cool Pink Corrector,LAGIRL-PROHDCONC-965,563,3,199,4,762,7,0.06%,0.06%,0.05%,0.10%,0.06%,0.07%,697,3,251,5,948,8,0.06%,0.04%,0.04%,0.09%,0.05%,0.06%,15.04%,0.00%,11,0,1.44%,0.00%,£65.89,£0.00,10,0
B07V674F5K,B07V2JBBCM,"Max Factor Lash Revival Primer, 11 ml",MF-LR-PRIMER_SNL,135,1,62,0,197,1,0.01%,0.02%,0.01%,0.00%,0.01%,0.01%,172,1,101,0,273,1,0.01%,0.01%,0.02%,0.00%,0.02%,0.01%,17.60%,100.00%,10,0,5.08%,0.00%,£62.77,£0.00,10,0
B0BHTTCP3C,B08NVLV2L9,Maybelline Mascara The Falsies Lash Lift Intense Volumizing Ultra Black,MAYB-MSC-FALSIES-ULTBLK,354,4,991,11,"1,345",15,0.04%,0.08%,0.24%,0.27%,0.10%,0.16%,518,4,"1,144",17,"1,662",21,0.04%,0.06%,0.20%,0.29%,0.09%,0.17%,6.32%,60.00%,11,0,0.82%,0.00%,£85.67,£0.00,10,0
B081W757PW,B003DKJGO0, ,LOREAL-MSC-VM-BLK,509,2,201,3,710,5,0.05%,0.04%,0.05%,0.07%,0.05%,0.05%,649,5,242,3,891,8,0.05%,0.07%,0.04%,0.05%,0.05%,0.06%,2.94%,0.00%,9,0,1.27%,0.00%,£88.11,£0.00,9,0
B0H792Q1DQ,B003ZC31BK,"Rimmel London Professional Eyebrow Pencil Precise Pencil with Builtin Brush 1.4 g, Hazel, 1 count",RIM-EBP-HAZEL-V2_SNL,291,1,122,2,413,3,0.03%,0.02%,0.03%,0.05%,0.03%,0.03%,374,1,156,2,530,3,0.03%,0.01%,0.03%,0.03%,0.03%,0.02%,1.38%,0.00%,9,0,2.18%,0.00%,£38.46,£0.00,9,0
B0046MLZLG,B0046MLZLG,"Sally Hansen Advanced Hard as Nails Strengthener, 13.3ml (Pack of 1)",SH-ADVANCEHARD,"2,757",9,"1,245",12,"4,002",21,0.29%,0.17%,0.30%,0.29%,0.29%,0.22%,"3,829",16,"1,702",20,"5,531",36,0.31%,0.23%,0.30%,0.35%,0.31%,0.28%,0.71%,17.65%,10,0,0.25%,0.00%,£48.19,£0.00,9,0
B09F3ZMYK5,B0047X6QEA,Rimmel London Lasting Finish Bullets (Satin) - 077 Asia,RIM-LF-LS-077,229,0,152,1,381,1,0.02%,0.00%,0.04%,0.02%,0.03%,0.01%,331,0,201,1,532,1,0.03%,0.00%,0.04%,0.02%,0.03%,0.01%,0.85%,0.00%,13,0,3.41%,0.00%,£103.87,£0.00,9,0
B01872EVRU,B01872EVRU,"Technic Eyebrow Pencil, Definer & Sharpener-Black",TECHNIC-BROW-PENCIL-BLACK,150,1,54,0,204,1,0.02%,0.02%,0.01%,0.00%,0.01%,0.01%,191,1,72,0,263,1,0.02%,0.01%,0.01%,0.00%,0.01%,0.01%,9.96%,0.00%,9,1,4.41%,100.00%,£17.91,£1.99,9,1
B0BXS352Y4,B01LJV6BJM,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,MARION-COLOR-SHAMP-66,255,2,120,4,375,6,0.03%,0.04%,0.03%,0.10%,0.03%,0.06%,327,2,150,6,477,8,0.03%,0.03%,0.03%,0.10%,0.03%,0.06%,50.21%,0.00%,11,0,2.93%,0.00%,£32.89,£0.00,9,0
B0H792Q1DQ,B076F3Z9DL,"Rimmel London Eyebrow Pencil, Black Brown",RIM-EBP-BLKBRW,"3,651",29,"1,632",23,"5,283",52,0.38%,0.55%,0.39%,0.56%,0.38%,0.55%,"4,590",37,"2,124",30,"6,714",67,0.37%,0.54%,0.38%,0.52%,0.37%,0.53%,13.72%,0.00%,9,0,0.17%,0.00%,£35.25,£0.00,9,0
B0F8NY2BL2,B08497CYJL,"Rimmel London , Mascara ScandalEyes Volume on Demand Waterproof, Mascara Volumizzante, Resistente allAcqua, Nero",RIM-MSC-SCAND-VOD-WP_SNL,198,0,92,1,290,1,0.02%,0.00%,0.02%,0.02%,0.02%,0.01%,249,0,110,1,359,1,0.02%,0.00%,0.02%,0.02%,0.02%,0.01%,7.33%,0.00%,9,0,3.10%,0.00%,£44.55,£0.00,9,0
B0C5K7MPN4,B08K41FJBC,"Max Factor NailFinity Nail Polish - Leading Lady 230, 12 ml",MF-NAILFINITY-GEL-230_SNL,195,1,102,3,297,4,0.02%,0.02%,0.02%,0.07%,0.02%,0.04%,273,2,147,7,420,9,0.02%,0.03%,0.03%,0.12%,0.02%,0.07%,28.12%,100.00%,10,0,3.37%,0.00%,£37.92,£0.00,9,0
B0CSFTBKMR,B08K49D3N5,Masterpiece Xpress shade Berry Cute,MF-NAIL-XPRESS-340_SNL,95,2,62,1,157,3,0.01%,0.04%,0.01%,0.02%,0.01%,0.03%,114,2,72,2,186,4,0.01%,0.03%,0.01%,0.03%,0.01%,0.03%,31.38%,100.00%,9,0,5.73%,0.00%,£46.29,£0.00,9,0
B0GGB6BYK1,B09ZYTBVCN,"Rimmel Lasting Finish Lipstick 901 Golden Dust, Creamy Satin Finish, Long Lasting 8 HR Wear, Comfortable Formula, Rich Pigment",RIM-LF-SG-LS-901,"1,868",4,874,5,"2,742",9,0.19%,0.08%,0.21%,0.12%,0.20%,0.10%,"2,201",4,"1,117",7,"3,318",11,0.18%,0.06%,0.20%,0.12%,0.18%,0.09%,0.85%,0.00%,13,0,0.47%,0.00%,£61.48,£0.00,9,0
B0DP3Q458H,B0BSSBBV31,Bourjois Healthy Mix Concealer Beige 52 6 ml,BJS-VEGAN-HMCCLR-52,65,1,32,1,97,2,0.01%,0.02%,0.01%,0.02%,0.01%,0.02%,91,2,40,1,131,3,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,94.26%,100.00%,9,0,9.28%,0.00%,£62.91,£0.00,9,0
B0BZVTKK2K,B0BZVTKK2K,Armaf Odyssey Aqua Eau de Parfum 100ml,ARMAF-166132-V2,"1,135",6,358,4,"1,493",10,0.12%,0.11%,0.09%,0.10%,0.11%,0.11%,"1,553",11,477,5,"2,030",16,0.12%,0.16%,0.08%,0.09%,0.11%,0.13%,10.05%,16.67%,9,0,0.60%,0.00%,£205.50,£0.00,9,0
B00P7SPD70,B000H3CPOO,Super Lustrous Lipstick by Revlon 245 Smoky Rose,REV-SLL-245_SNL,203,1,194,3,397,4,0.02%,0.02%,0.05%,0.07%,0.03%,0.04%,260,1,256,3,516,4,0.02%,0.01%,0.05%,0.05%,0.03%,0.03%,14.17%,0.00%,8,0,2.02%,0.00%,£39.29,£0.00,8,0
B0FYHMFVRG,B000ORVWN8,"Max Factor Lipfinity Indulgent, Long-Lasting, Two Step Lipstick, Vibrant Colour, Hydrating, Lasts 24 Hrs, Matte Lip Colour With Glossy Top Coat, 4.2g",MF-LIPFINITY-24HR-190,629,3,312,4,941,7,0.07%,0.06%,0.07%,0.10%,0.07%,0.07%,765,3,428,4,"1,193",7,0.06%,0.04%,0.08%,0.07%,0.07%,0.06%,9.53%,0.00%,14,0,1.49%,0.00%,£111.72,£0.00,8,0
B0FYHMFVRG,B000ORVWN8,"Max Factor Lipfinity Indulgent, Long-Lasting, Two Step Lipstick, Vibrant Colour, Hydrating, Lasts 24 Hrs, Matte Lip Colour With Glossy Top Coat, 4.2g",MF-LIPFINITY-24HR-190_SNL,629,3,312,4,941,7,0.07%,0.06%,0.07%,0.10%,0.07%,0.07%,765,3,428,4,"1,193",7,0.06%,0.04%,0.08%,0.07%,0.07%,0.06%,9.53%,0.00%,10,0,1.06%,0.00%,£85.14,£0.00,8,0
B08HQQX815,B001GNBVS0,"MAX FACTOR - Pan Stik Foundation - Rich Creamy Foundation, Smoothing Effect, Full Coverage, Dewy Skin Look - Normal To Dry Skin - 14 Cool Copper - 9g",MF-PS-14_SNL,"1,576",11,792,7,"2,368",18,0.16%,0.21%,0.19%,0.17%,0.17%,0.19%,"1,974",15,"1,052",9,"3,026",24,0.16%,0.22%,0.19%,0.16%,0.17%,0.19%,1.75%,0.00%,9,0,0.38%,0.00%,£62.01,£0.00,8,0
B074KXX5C1,B004ZEMOC4,"Sally Hansen Insta-Dri Top Coat, 13.3ml",SH-INSTADRI-V3,"2,686",26,"1,074",10,"3,760",36,0.28%,0.49%,0.26%,0.24%,0.27%,0.38%,"3,393",33,"1,368",12,"4,761",45,0.27%,0.48%,0.24%,0.21%,0.26%,0.36%,0.60%,0.00%,9,0,0.24%,0.00%,£47.48,£0.00,8,0
B0GP916D7F,B00A6KBSSW,Rimmel Long Lasting Gel Nail Polish 091 Nailed It,RIM-NAIL-SUPERGEL-091A,109,0,60,1,169,1,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,131,0,70,1,201,1,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,30.32%,0.00%,8,0,4.73%,0.00%,£47.60,£0.00,8,0
B00EC9P85C,B00EC9P85C,Max Factor Panstik Foundation – No. 13 Nouveau Beige by Max Factor,MF-PS-13-V2,299,2,234,2,533,4,0.03%,0.04%,0.06%,0.05%,0.04%,0.04%,401,2,306,2,707,4,0.03%,0.03%,0.05%,0.03%,0.04%,0.03%,1.23%,0.00%,13,0,2.44%,0.00%,£82.26,£0.00,8,0
B0DW8YTB2G,B00I98Y93Y,Max Factor Lipfinity 22 Forever Lolita 2 ml,MF-LIPFINITY-24HR-022,46,0,22,1,68,1,0.00%,0.00%,0.01%,0.02%,0.00%,0.01%,59,0,27,1,86,1,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,53.16%,0.00%,9,0,13.24%,0.00%,£89.91,£0.00,8,0
B08RFX1H5F,B00O32UK42,"Bourjois Levres Contour Edition Lip Liner and Pencil 2 Coton Candy Pinks, 1.14g 330021",BJS-CE-LLP-02,30,0,31,1,61,1,0.00%,0.00%,0.01%,0.02%,0.00%,0.01%,39,0,37,1,76,1,0.00%,0.00%,0.01%,0.02%,0.00%,0.01%,31.08%,0.00%,15,0,24.59%,0.00%,£68.30,£0.00,8,0
B0H4SV53T5,B00UYJDQ7Q,"Rimmel 60 Seconds Super Shine Nail Polish, 853 Pillow Talk, Quick-Dry Nail Polish, Ultra-Shiny Finish, Easy to Apply, Vibrant Colour, Long-Wearing, Improved Formula, Vegan, 8ml",RIM-NAIL-60S-853,"1,614",5,696,7,"2,310",12,0.17%,0.09%,0.17%,0.17%,0.17%,0.13%,"2,022",10,930,10,"2,952",20,0.16%,0.15%,0.17%,0.17%,0.16%,0.16%,0.67%,100.00%,8,0,0.35%,0.00%,£45.62,£0.00,8,0
B0H4SV53T5,B00UYJHLRC,"Rimmel 60 Seconds Super Shine Nail Polish, 500 Caramel Cupcake , Quick-Dry Nail Polish, Ultra-Shiny Finish, Easy to Apply, Vibrant Colour, Long-Wearing, Improved Formula, Vegan, 8ml",RIM-NAIL-60S-500,"22,420",97,"7,962",47,"30,382",144,2.34%,1.83%,1.89%,1.15%,2.20%,1.53%,"30,308",134,"11,781",79,"42,089",213,2.42%,1.95%,2.10%,1.37%,2.32%,1.68%,0.02%,3.85%,8,0,0.03%,0.00%,£33.84,£0.00,8,0
B071XHK4BM,B01DC7SX0Q,Stargazer Everyday Mid Brown Hair Mascara - Temporary Root Touch-Up & Grey Coverage - Washable Hair Colour Wand - Cruelty-Free,STARGAZER-HAIR-MSC-MEDBRW,20,0,10,1,30,1,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,36,0,10,1,46,1,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,85.71%,0.00%,13,0,43.33%,0.00%,£60.97,£0.00,8,0
B0BXWHBJ7Q,B01N04V03R,RefectoCil Cream Hair Dye - Black 15ml,REFCIL-EBT-BLK,"1,487",19,579,5,"2,066",24,0.15%,0.36%,0.14%,0.12%,0.15%,0.26%,"2,073",21,825,7,"2,898",28,0.17%,0.31%,0.15%,0.12%,0.16%,0.22%,33.10%,20.00%,9,0,0.44%,0.00%,£53.78,£0.00,8,0
B01NBHY7VH,B01NBHY7VH,"Technic Colour Fix 2 Pressed Powder Contour Palette, 3.5 g, 8 Piece",TECHNIC-CFIX-2-PWDR-PAL,98,0,38,0,136,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,126,0,53,0,179,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,17.72%,0.00%,9,0,6.62%,0.00%,£38.25,£0.00,8,0
B08PQZYLY9,B077L7FL43,"Bourjois Little Round Pot Blusher 95 Rose De Jaspe, 2.5g 29192115095",BJS-LRPB-95,"1,269",2,773,5,"2,042",7,0.13%,0.04%,0.18%,0.12%,0.15%,0.07%,"1,839",3,"1,141",7,"2,980",10,0.15%,0.04%,0.20%,0.12%,0.16%,0.08%,80.67%,66.67%,9,0,0.44%,0.00%,£80.37,£0.00,8,0
B0BW3DGCGW,B08BNTVXLN,"ARMAF Club De Nuit Intense Man Pure Parfum, 150ml",ARMAF-131017-V2,368,5,161,2,529,7,0.04%,0.09%,0.04%,0.05%,0.04%,0.07%,574,7,258,3,832,10,0.05%,0.10%,0.05%,0.05%,0.05%,0.08%,18.56%,0.00%,10,0,1.89%,0.00%,£440.00,£0.00,8,0
B000AA5VD6,B000AA5VD6,Instra-Dri Anti-Chip Top Coat by Sally Hansen Clear (2755),SH-INSTADRI-V2,196,1,145,1,341,2,0.02%,0.02%,0.03%,0.02%,0.02%,0.02%,232,1,180,1,412,2,0.02%,0.01%,0.03%,0.02%,0.02%,0.02%,3.85%,0.00%,7,0,2.05%,0.00%,£42.49,£0.00,7,0
B0F5W8BGFS,B0049CYN12,"Revlon SPF 20 Photoready Concealer, 3.2 g, Number 004, Medium",REV-PHOTO-CCLR-004_SNL,104,0,71,0,175,0,0.01%,0.00%,0.02%,0.00%,0.01%,0.00%,135,0,99,0,234,0,0.01%,0.00%,0.02%,0.00%,0.01%,0.00%,18.31%,0.00%,8,0,4.57%,0.00%,£47.92,£0.00,7,0
B00H56KCUU,B00H56KCUU,"Maybelline Baby Skin Primer, Instant Pore Eraser Lightweight Blurring",MAYB-BABYSKIN-PRIMER,"3,369",16,"1,444",18,"4,813",34,0.35%,0.30%,0.34%,0.44%,0.35%,0.36%,"4,588",20,"1,844",23,"6,432",43,0.37%,0.29%,0.33%,0.40%,0.35%,0.34%,1.35%,0.00%,7,0,0.15%,0.00%,£53.37,£0.00,7,0
B0BXS352Y4,B00PWKVJ1W,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,MARION-COLOR-SHAMP-59_SNL,363,1,192,0,555,1,0.04%,0.02%,0.05%,0.00%,0.04%,0.01%,440,1,236,0,676,1,0.04%,0.01%,0.04%,0.00%,0.04%,0.01%,10.33%,100.00%,13,0,2.34%,0.00%,£42.54,£0.00,7,0
B00PWKVL4M,B00PWKVL4M,Marion Hair Colour Shampoo in Sachet Lasting 4-8 Washes - 61 Blonde,MARION-COLOR-SHAMP-61,15,0,11,1,26,1,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,22,0,16,3,38,3,0.00%,0.00%,0.00%,0.05%,0.00%,0.02%,76.67%,33.33%,14,0,53.85%,0.00%,£41.86,£0.00,7,0
B0DFTDRNJ1,B00PWKVR1E,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,MARION-COLOR-SHAMP-94_SNL,145,0,81,2,226,2,0.02%,0.00%,0.02%,0.05%,0.02%,0.02%,194,0,98,3,292,3,0.02%,0.00%,0.02%,0.05%,0.02%,0.02%,37.55%,100.00%,12,0,5.31%,0.00%,£36.68,£0.00,7,0
B00R7BKFKA,B00R7BKFKA,"Maybelline Mascara Lash Sensational Black 01, 9.5ml",MAYB-MSC-LS-BLK-V2_SNL,38,1,19,1,57,2,0.00%,0.02%,0.00%,0.02%,0.00%,0.02%,47,1,22,1,69,2,0.00%,0.01%,0.00%,0.02%,0.00%,0.02%,88.52%,100.00%,7,0,12.28%,0.00%,£69.93,£0.00,7,0
B08R4SQBV9,B081SXMNMN,"Rimmel London Brow Pro Micro 24HR Precision-Stroke Pen, Microfilling Felt Tip, Soft Brown, 1 ml",RIM-MICRO-BRW-003,167,1,81,2,248,3,0.02%,0.02%,0.02%,0.05%,0.02%,0.03%,224,1,111,3,335,4,0.02%,0.01%,0.02%,0.05%,0.02%,0.03%,7.95%,0.00%,8,0,3.23%,0.00%,£39.48,£0.00,7,0
B01M0M1D7R,B09N2Y5QGC,"Max Factor Crème Puff Pressed Powder, 75 Golden, 14g",MF-CP-RLCH-75,475,5,256,1,731,6,0.05%,0.09%,0.06%,0.02%,0.05%,0.06%,571,5,321,4,892,9,0.05%,0.07%,0.06%,0.07%,0.05%,0.07%,46.95%,100.00%,12,0,1.64%,0.00%,£70.86,£0.00,7,0
